question,credit_card,loan,general
 Có chính sách bảo lưng nào cho khách hàng tiết kiệm với thẻ tín dụng?,0,0,1
" Thẻ nào tài chính giúp khách hàng học luận về lựa chọn giao dụng, giao dịch điện tử?",0,0,1
 VPBank có chính sách khuyến mại nào cho khách hàng trang tính đăng ký mới dùng dịch vụ giao dịch qua email?,0,0,1
 Có thể tôi sử dụng VPBank NEO để gửi giao dịch theo email chức năng gửi tiền một lần duy nhất một lúc?,0,0,1
 Có thể tôi chuyển khoản bằng ứng dụng VPBank NEO không?,0,0,1
 Nên chọn VPBank tài khoản gì để nhận ưu đãi tốt nhất khi dùng thẻ tín dụng?,0,0,1
"Bạn có thể giải thích đơn giản cho tôi việc làm gì khi khách hàng đọng tiền bằng thẻ ghi nợ tại một địa điểm nào đó, sau đó chuyển tiền sang một đối tác trong quá trình mua hàng qua mạng?",1,0,0
"Khi mua sắm trực tuyến, tại sao bạn khuyến khích khách hàng sử dụng thẻ ghi nợ nội địa hơn thẻ ghi nợ nội địa?",1,0,0
 Tôi có thể mua quần áo online và được hỗ trợ cho vay chứng khoán để mua hàng không?,1,0,0
 Vay tín chấp có bất kỳ giảm giá hoặc ưu đãi không nữa?,0,0,1
" Nếu tôi chấp nhận một chính sách quyết toán, tôi có thể giảm lãi suất vay gì?",0,1,0
 Có thể khách hàng dự phòng lãi bằng một thẻ để lưu trữ tiền?,0,0,1
" Nếu tôi dùng thẻ, tôi có thể nạp tiền cho một thẻ game mình có không?",0,0,1
 Tôi có thể có hai vay về hai gói dự án khác nhau trong một lúc không?,0,0,1
 Doanh nghiệp siêu nhỏ có thể được cung cấp bảo hình cho gói vay Logistics bằng thẻ tín dụng?,0,0,1
 Dòng tiền vay tín chấp như thế nào giúp cho việc trả nợ gói vay cũ nhanh hơn?,0,0,1
" Nếu một khoản vay tín chấp lấp được, đến khi được hoàn trả 100%, liên tục có thể mở một khoản vay mới không?",0,0,1
 Tôi có thể mở tài khoản thanh toán và lưu tiền trực tuyến giúp cho việc quảng cáo doanh nghiệp siêu nhỏ trở nên dễ dàng hơn?,0,0,1
" Nếu tôi muốn nhanh chóng được hợp đồng vay, có phải gửi hồ sơ qua email hoặc hệ thống điện tử ngân hàng làm việc nhanh nhất?",0,0,1
" Khi tôi có bất kỳ vấn đề gì về thẻ tín dụng của mình, có thể liên hệ với chăm sóc khách hàng của ngân hàng qua Facebook hoặc Zalo để được hỗ trợ?",0,0,1
 Tôi có thể đăng ký cho vay ngân hàng và mở thẻ tài khoản thanh toán trong một gói độc lập không?,1,0,0
 Bạn có thể cho biết quy định cho việc vay qua ngân hàng cho doanh nghiệp siêu nhỏ?,0,0,1
 Tôi muốn biết những cách hợp lệ để giảm chi phí vay tài trợ vốn ngắn hạn?,0,0,1
 Làm thế nào để khách hàng đối tác của bạn tìm thấy dịch vụ giao dịch qua email đáng tin cậy?,0,0,1
 Đang có ưu đãi tặng quà cho khách mở thẻ tín dụng mới không?,0,0,1
" Để mở vay tín chấp, khách hàng phải đáp ứng được bộ điều kiện nào?",0,0,1
 Học viên có thể nhận ưu đãi giáo dục khi mở thẻ tín dụng hay vay?,0,0,1
 Có thể mở vay bằng thẻ tín dụng trực tuyến không?,0,0,1
" Ngân hàng có thể cho phép gửi tiền qua nội dung thẻ điện thoại, chứng chỉ tiền gửi tài khoản của khách hàng nào?",0,0,1
 Tôi có thể mở khoản vay để mua xe máy không?,0,0,1
 Bao giờ phải thanh toán lại lãi suất cho vay trả nợ trước hạn?,0,1,0
 Điều kiện mở vay cho doanh nghiệp siêu nhỏ là gì?,0,0,1
 Bao giờ tôi sẽ nhận được ưu đãi khi sử dụng Thẻ Diamond World trên Shopee?,0,0,1
 Tôi có thể trả tiền cho vay vốn thông qua điện thoại không?,0,0,1
 Ngân hàng có cung cấp bao nhiêu loại thẻ tín dụng?,0,0,1
" Với gói Tài khoản số đẹp VPBank Prime 5in1, có đảm bảo tiện lợi vay nhanh không?",0,0,1
" Vay thế chấp, có báo cáo trạng thái gấp nhân viên cung cấp vấn đề gì không?",0,1,0
" Doanh nghiệp do nữ làm chủ muốn mở thẻ tín dụng cho việc bán hàng, phải gặp những điều kiện gì?",0,0,1
" Với việc dùng VPBank NEO, hết tiền không thể thực hiện gì?",0,0,1
 Giải pháp vay siêu tốc được sử dụng đến khi nào?,0,0,1
" Liên kết trực tiếp với dịch vụ trải nghiệm ngân hàng VPBank nhất, tôi muốn biết một số chính sách mua hàng qua website của họ, có được không?",1,0,0
" Thể thao hóa hình thức lãi suất vay tín chấp, ngân hàng có giúp đỡ tôi không?",0,1,0
" VPBank Z JCB, VPBank Flex Mastercard, đảm bảo mình có thể giao dịch bằng thẻ tại những nơi mình muốn đi mới?",0,0,1
 Điều kiện để được sử dụng gói sản phẩm tài khoản thanh toán VPSuper?,0,0,1
 Sản phẩm nào trong dịch vụ đổi tiền hỗ trợ đổi tiền nhiều nhất một lần?,1,0,0
 Lãi suất cho vay thế chấp như thế nào?,0,1,0
 Tôi muốn biết cách đăng ký tài khoản điện tử để dùng dịch vụ Western Union?,0,0,1
 Có gì khác ngoài VPBank NEO để bảo mật tài khoản trên Internet Banking của VPBank?,0,0,1
 Tôi có thể có được số thẻ tín dụng một lần cho để gửi hỗ trợ truyền thông cho một đối tác?,0,0,1
 Làm thế nào để kiểm tra số dư trong tài khoản của mình với thẻ tín dụng?,0,0,1
 Tôi có thể duy trì trách nhiệm quyết toán với nhiều thẻ tín dụng một lần?,0,0,1
 Phí vay vay tiếp sức trước khi gửi hợp đồng gì?,0,0,1
 Có thể mở một vay tín chấp và một thẻ tín dụng cùng lúc được không?,1,0,0
 Tôi có thể sử dụng vay thế chấp để mua một thông minh?,0,0,1
 Làm thế nào để tìm hiểu ngân hàng có tài khoản lãi hoàn bảo không?,0,1,0
 Vay người không có doanh nghiệp có quy định gì?,0,0,1
 Có thể mua một cái car với thẻ tín dụng không?,0,0,1
 Tại sao ngân hàng cần đối tác cho dịch vụ vay tín dụng?,0,0,1
 Hỗ trợ gì cho khách hàng trong quá trình vay giao dịch qua Internet Banking?,0,0,1
 Vay quốc tế có bao nhiêu cú pháp khác nhau không?,0,0,1
 Có thể vay một số tiền để mở một doanh nghiệp và sử dụng thẻ tín dụng trong một thời gian ngắn để chi tiêu cho hoạt động kinh doanh không?,1,0,0
 Khi lãi suất vay được tính bao nhiêu phần trăm của số tiền vay?,0,0,1
 Điều kiện để được giao dịch tiền qua email bảo mật nhất?,0,0,1
 Làm thế nào để xác minh rằng một giao dịch qua email là hợp lệ trước khi hoàn thành?,1,1,0
" Định hướng về tính linh hoạt của dịch vụ thanh toán lương qua chứng từ điện tử E-Payroll, có khả năng gỡ chế độ bật vàng hoặc tắt nguồn lực dùng cho việc thanh toán lương theo yêu cầu của khách hàng?",0,0,1
 Ngân hàng có chính sách về việc gửi tiền trực tuyến đến nước ngoài không?,0,1,0
 Thẻ tín dụng nào có được hỗ trợ chăng kính với chính sách trải nghiệm tốt nhất cho khách hàng mới?,0,0,1
 Bạn có thể hỗ trợ một người vay vốn để mở một cửa hàng đại lý điện tử mới?,0,0,1
 Vay siêu tốc có được tương tác qua ứng dụng ngân hàng điện tử không?,0,0,1
 Điều kiện để mở vay thế chấp cho một vấn đề chậm trả cần gặp gẫn gì?,0,0,1
 Ngân hàng có một chương trình tài trợ giáo dục nào cho trẻ em của khách hàng?,0,1,0
 Trải nghiệm dịch vụ xử lý vi phạm giao dịch với ngân hàng nào tốt nhất?,0,0,1
 Có thể mua một loạt sản phẩm quốc tế trên internet và thanh toán bằng thẻ tín dụng của ngân hàng VPBank?,0,0,1
 Phải thực hiện đúng gì để được đạt chứng nhận thẻ gia dục trong ngân hàng VPBank?,0,0,1
 Có thể mở một vay tiếp sức chủ sạp và một thẻ tín dụng cùng lúc đấu giá trên internet của ngân hàng VPBank?,1,0,0
 Tại sao ngân hàng luôn mạo danh dịch vụ bảo lãnh đối ứng hơn bảo lãnh dự thầu?,0,1,0
 Có thể mở vay thế chấp kèm theo một thẻ ghi nợ?,1,0,0
 Dịch vụ xuất nhập khẩu qua Internet Banking liên quan gì đến phí?,0,0,1
" Chính sách bảo mật của một ngân hàng cho phép khách hàng gửi thông tin liên kết tới một website bên thứ ba, không?",0,0,1
 Hợp đồng quản lý các dự án vay doanh nghiệp có phải bắt buộc phải chuyển tiền qua cảng ngân hàng?,0,0,1
" Tôi muốn mở một khoản vay cho việc mua xe hơi, có được yêu cầu chứng nhận doanh nghiệp khi yêu cầu một vay nhập khẩu?",0,0,1
 Có thể tôi sử dụng thẻ ghi nợ để chuyển tiền giữa hai ngân hàng không?,0,0,1
 Vì sao việc có đủ tiền lương để trả vay là một yêu cầu quan trọng để được chấp nhận vay?,0,0,1
 Có thể người dùng thẻ tín dụng trả góp cùng một tháng với một vay nhập khẩu?,1,0,0
" Khi mà đang sử dụng dịch vụ vay trả nợ trước hạn khoản vay cũ, có thể mở vay mới để điều chế hợp lý chi trả lãi?",0,0,1
" Để được ưu đãi khi gửi tiết kiệm thông qua dịch vụ trực tuyến, tôi cần phải có bao nhiêu tiền gửi?",0,0,1
 Ngoại hương gì đó có thể giúp tôi đưa ra quyết định trước hết khi quan sát để tìm ra sản phẩm vay tốt nhất?,0,1,0
 Có thể không mở vay sống được với một thẻ tín dụng?,0,0,1
" Khi một khách hàng có thẻ tín dụng, phải mở vay mới được lãi?",0,0,1
 Vay trực tuyến có ưu đãi gì cho khách hàng chưa mở thẻ tín dụng?,0,0,1
 Dịch vụ cho gửi tiết kiệm qua Internet Banking có miễn phí không?,0,0,1
 Bộ chứng từ xuất khẩu cho doanh nghiệp siêu nhỏ có giá bao nhiêu?,0,1,0
 Phí đăng ký cho vay thế chấp sạp chợ bao nhiêu?,0,0,1
"Trường hợp mình muốn vay vào dự án quảng cáo, tìm hiểu các dạng vay phù hợp nào?",0,0,1
"Đôi khi mình muốn cầm tiền một chiếc xe hơi, hãy giải thích cho tôi quá trình vay bán lại xe nhé?",0,1,0
"Tạm thời tôi không có theo dụng cho việc mở thẻ ghi nợ, tôi có thể sử dụng dịch vụ vay thế chấp không?",0,0,1
Có một loại thẻ tín dụng cho khách hàng tiều dưởng những gì không?,0,0,1
Tại sao tôi nên chọn thẻ tín dụng nào để phát triển tiều thuẫn tài chính của mình?,0,0,1
Tôi có thể sử dụng thẻ vay lần đầu tiên cho gì?,0,0,1
"Ngoài các điều kiện chung, có nào khác gì để được xét duyệt cho vay cá nhân?",0,0,1
Có thể kết hợp chương trình tiết kiệm với vay đối với gì?,1,0,0
Màu sắc và kích thước gói thẻ tín dụng là gì?,0,0,1
 Hãy giới thiệu cho tôi sản phẩm Tài trợ dự án trọn gói nhé?,0,1,0
 Điều kiện để được chế độ tài trợ nhà phân phối trọn gói là gì?,0,1,0
 Có thể mở giao dịch qua email với quyền lợi gì so với giao dịch trực tuyến?,0,0,1
" Hãy giới thiệu cho tôi dịch vụ Chiết khấu nhanh 3 giờ, thế nào hoạt động?",1,1,0
 Có thể nhập tiền mặt quốc tế qua Thẻ tín dụng không?,0,0,1
 Tôi có thể dùng thẻ ghi nợ và vay cùng lúc không?,1,0,0
 Điều kiện để được gửi thẻ tín dụng là gì?,0,0,1
 Tôi có thể thanh toán hóa đơn mà không sử dụng thẻ ghi nợ?,0,0,1
 Lợi ích gì cho khách hàng nếu họ sử dụng VPBank NEO?,1,0,0
" Tôi muốn hủy hợp đơn gửi thẻ, cách làm thế nào?",0,0,1
 Dịch vụ ngân hàng điện tử hỗ trợ giúp khách hàng quản lý nhanh chóng và hiệu quả không?,1,1,0
 Tại sao tôi nên lựa chọn Dịch vụ chuyển tiền quốc tế của ngân hàng VPBank?,0,0,1
 Có khả năng tôi có thể nhanh chóng dùng được Bảo hiểm sống thịnh vượng của VPBank trong trường hợp mình bị việc?,0,0,1
 Vay tín chấp có thể vay một lượng lớn đối với một khoản thời gian ngắn?,0,0,1
 Trong gói Dịch vụ thanh toán VPSuper có mô hình hoá trả lương cho công việc tự làm hay không?,0,0,1
" Khi mình có hoạt động quá trình đấu giá mua một gói thẻ tín dụng, có thể mình huỷ hoặc điều chỉnh yêu cầu bầu tư trước khi đóng yếu tố làm việc?",0,0,1
" Nếu mình muốn biết giá trị của tài sản đảm bảo của mình nằm trong vay thế chấp, có thể liên hệ với Ngân hàng để biết chính xác không?",0,0,1
 Tôi có thể gửi tiền đến ngân hàng khác qua ứng dụng Ngân hàng Nói chung?,0,0,1
 Điều kiện để được chuyển sang chương trình VPBank Loyalty là gì?,0,0,1
 Thẻ tiết kiệm VPBank Bảo Toàn Thịnh Vượng có thể dùng để giao dịch qua ứng dụng không?,0,0,1
 Vay dự án trọn gói có quy định về phân bổ dư trống là gì?,0,0,1
 Điều kiện để được hỗ trợ gói tài trợ dự án trọn gói cho doanh nghiệp nữ là gì?,0,0,1
 Tôi có thể sử dụng VPBank Diamond với các sản phẩm tài chính khác của ngân hàng không?,0,0,1
 Điều kiện cho việc mở tài khoản Bảo Lãnh Dự Thầu là gì?,0,1,0
 Vay tiếp sức chủ sạp có đơn vị hỗ trợ tư vấn kỹ thuật và tư vấn vay như Vay đa năng không?,0,0,1
 Dạng thẻ nào cho phép hoán đổi lãi suất nhanh nhất?,0,0,1
 Có thể hủy gói thẻ tín dụng VPBank Loyalty sau đăng ký?,0,0,1
 Tôi có thể đến một ngân hàng để điều chỉnh chỉ số trung bình hàng tháng (BBR) trên tài khoản tài chính của mình không?,0,0,1
 Trong trường hợp mình đã nộp hoàn bồi thì được phép làm gì với tiền trả lại cho một gói vay?,0,0,1
" Điều kiện để nhận ưu đãi khuyến mại khi mua Thẻ tín dụng do VPBank cung cấp, bạn hãy chia sẻ?",0,0,1
" Làm sao để đăng ký mở vay tín chấp qua điện thoại online, không cần đến ngân hàng trực tiếp?",0,0,1
" Vay tín chấp có thể dùng để mở dự án kinh doanh siêu nhỏ, chứng nhận mình biết?",0,0,1
Tôi có thể mở một thẻ giảm giá trực tuyến và vay tín dụng cùng lúc bằng VPBank?,1,0,0
Phải làm gì để trở thành một VPBank Diamond Member?,1,0,0
Dịch vụ chuyển tiền giữa các ngân hàng qua Internet Banking của VPBank giá rẻ nhất là bao nhiêu?,0,0,1
Có khảo sát những điểm yêu cầu cho việc đăng ký cho vay trọn gói tài trợ dự án tại VPBank?,0,0,1
Ngân hàng VPBank có một dịch vụ bảo hiểm an ninh thẻ nào?,0,0,1
 Tất cả các loại dịch vụ nạo văn xuất gồm gì?,0,0,1
 Làm thế nào để biết ngân hàng của mình có chính sách ưu tiên cho khách hàng vay vốn không?,0,0,1
 Có kể cả tài khoản ngân hàng tốt nhất cho doanh nghiệp hay không?,1,1,0
 Tại sao doanh nghiệp cần dịch vụ tài trợ xuất nhập khẩu?,0,1,0
 Được phép mở thêm nhiều tài khoản thẻ tín dụng không?,0,0,1
 Tôi có thể được đăng ký cho dịch vụ vay hợp vốn một cách đơn giản trực tuyến không?,0,0,1
 Bảo hiểm sức khỏe được cung cấp bởi những ngân hàng nào?,0,1,0
" Cho vay giữa các loại tín dụng và tín chấp, được đề nghị làm thế nào cho phần trăm đầu tiên của doanh số giao dịch?",1,0,0
" Đánh giá trên 10 điểm, hỗ trợ tốt nhất của ngân hàng trong việc cho vay nhập khẩu là gì?",0,0,1
 Tại sao mình nên mở tài khoản VPBank NEO để gửi tiền qua email?,0,0,1
 Tôi có thể nhận phiếu được chấp nhận trả vay tại một ngân hàng khác như VPBank?,0,0,1
 Số tiền tối thiểu để có thể mở vay tín chấp cho giáo viên là bao nhiêu?,0,0,1
 Vay thế chấp có thể dùng để mở một cafe như thế nào?,0,0,1
 Tôi có thể kiểm tra tài khoản dịch vụ giao dịch qua email trên ứng dụng VPBank NEO không?,0,0,1
 Vay nhanh nhất tại đâu để mua điện thoại?,0,0,1
 Vay giáo dục để trả học phí trong tháng nào?,0,0,1
" Để có ưu đãi nhất, tôi nên sử dụng thẻ gì để mua hàng trực tuyến?",0,0,1
 Lãi suất giảm bao nhiêu để đủ điều kiện để được vay ngân hàng?,0,0,1
" Tôi cần mở vay xuân năm để mở một cafe nhỏ, tôi có thể được ưu đãi gì?",0,0,1
 Vay tín chấp có tạo ra thúc động cho việc tiết kiệm tiền bạc hay không?,0,0,1
 Dùng chung các sản phẩm nào mà Ngân hàng TPB có thể hỗ trợ cho một doanh nghiệp?,1,0,0
 Có thể mở khoản vay tín chấp để góp phần mua sắm một xe máy chính hãng không?,0,0,1
